"Last Time Detected","Site Name","Object Type","Object Name","Alarm Name","Probable Cause","Severity","OLC State","Additional Text","Alarm Type","Site ID","Object ID","Urgency","Acknowledged","Acknowledged By","First Time Detected","Number Of Occurrences"
2022/08/12 12:14:55 000 IST,billa,ltecmm.VNFCMember,"IPDS, Pool ID - 0, Member ID - 1",CmmLSS_threadsExhausted,cpuCyclesLimitExceeded,Critical,In Service,"LSS_threadsExhausted : ipds : billa-ipds1 : Machine=billa-ipds1:PoolType=IPDS:PoolId=0:PoolMemberId=1:Resource_type=sys_resource:UUID=59caf038-43de-4054-8451-dc16a7b463ff : MME Critical Task(s) failure, cnt=5;1st in list task[N2]   ==>>> !!! Recommended Recovery: Init Service !!! <<<==;",processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:vnfc-cmmAgg-ipds-0-1,Indeterminate,false,N/A,2022/08/12 12:14:55 000 IST,1
2022/08/12 12:09:06 000 IST,billa,ltecmm.VNFCMember,"IPDS, Pool ID - 0, Member ID - 0",CmmLSS_degradedResource,performanceDegraded,Major,In Service,LSS_degradedResource : rem : billa-necc1 : PoolType=IPDS:PoolId=0:PoolMemberId=0:Resource_type=sys_resource:UUID=cdfd0b7e-3690-4b83-86e9-b0e6efcc9b14 : This Service Member has one or more critical resources in a degraded condition.;,qualityOfServiceAlarm,10.103.253.100,network:10.103.253.100:cmmInst:vnfc-cmmAgg-ipds-0-0,Indeterminate,false,N/A,2022/08/12 12:09:06 000 IST,1
2022/08/07 10:48:03 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 0, Member ID - 0",CmmLSS_taiFqdnError,softwareError,Minor,In Service,LSS_taiFqdnError : ssp : billa-cpps0 : Machine=billa-cpps0:PoolType=CPPS:PoolId=0:PoolMemberId=0:Resource_type=mmeTAIFQDN:UUID=94e83f91-8629-4b35-b3a1-6dc177bf1116 : See customer log for more details! :NAPTR-Query fqdn=tac-lb41.tac-hb01.tac.epc.mnc001.mcc001.3gppnetwork.org:;,processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-0-0,Indeterminate,false,N/A,2022/08/07 10:48:03 000 IST,1
2022/08/07 10:47:46 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 1, Member ID - 0",CmmLSS_taiFqdnError,softwareError,Minor,In Service,LSS_taiFqdnError : ssp : billa-cpps1 : Machine=billa-cpps1:PoolType=CPPS:PoolId=1:PoolMemberId=0:Resource_type=mmeTAIFQDN:UUID=48f0d6c1-639a-41a5-81c3-91ed9324729a : See customer log for more details! :NAPTR-Query fqdn=tac-lb41.tac-hb01.tac.epc.mnc001.mcc001.3gppnetwork.org:NAPTR-Query fqdn=tac-lb41.tac-hb01.tac.epc.mnc001.mcc001.3gppnetwork.org:;,processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-1-0,Indeterminate,false,N/A,2022/08/07 10:47:46 000 IST,1
2022/08/07 10:42:02 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 0, Member ID - 0",CmmLSS_mmeDnsError,softwareError,Minor,In Service,LSS_mmeDnsError : ssp : billa-cpps0 : Machine=billa-cpps0:PoolType=CPPS:PoolId=0:PoolMemberId=0:Resource_type=mmeDNS:UUID=94e83f91-8629-4b35-b3a1-6dc177bf1116 : See customer log for more details! :NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.m;,processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-0-0,Indeterminate,false,N/A,2022/08/07 10:42:02 000 IST,1
2022/08/07 10:41:45 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 1, Member ID - 0",CmmLSS_mmeDnsError,softwareError,Minor,In Service,LSS_mmeDnsError : ssp : billa-cpps1 : Machine=billa-cpps1:PoolType=CPPS:PoolId=1:PoolMemberId=0:Resource_type=mmeDNS:UUID=48f0d6c1-639a-41a5-81c3-91ed9324729a : See customer log for more details! :NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.mnc099.mcc404.3gppnetwork.org:NAPTR-Query fqdn=mmec0a.mmegid92f.mme.epc.m;,processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-1-0,Indeterminate,false,N/A,2022/08/07 10:41:45 000 IST,1
2022/08/07 10:38:02 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 0, Member ID - 0",CmmLSS_pgwDnsError,softwareError,Minor,In Service,LSS_pgwDnsError : ssp : cpps0 : Machine=billa-cpps0:PoolType=CPPS:PoolId=0:PoolMemberId=0:Resource_type=pgwDNS:UUID=94e83f91-8629-4b35-b3a1-6dc177bf1116 : See customer log for more details! :NAPTR-Query fqdn=slaapn.apn.epc.mnc001.mcc001.3gppnetwork.org:NAPTR-Query fqdn=slaapn.apn.epc.mnc001.mcc001.3gppnetwork.org:;,processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-0-0,Indeterminate,false,N/A,2022/08/07 10:38:02 000 IST,1
2022/08/07 10:38:02 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 0, Member ID - 0",CmmLSS_sgsnDnsError,softwareError,Minor,In Service,LSS_sgsnDnsError : ssp : cpps0 : Machine=billa-cpps0:PoolType=CPPS:PoolId=0:PoolMemberId=0:Resource_type=sgsnDNS:UUID=94e83f91-8629-4b35-b3a1-6dc177bf1116 : See customer log for more details! :A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gpr;,processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-0-0,Indeterminate,false,N/A,2022/08/07 10:38:02 000 IST,1
2022/08/07 10:37:45 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 1, Member ID - 0",CmmLSS_pgwDnsError,softwareError,Minor,In Service,LSS_pgwDnsError : ssp : cpps1 : Machine=billa-cpps1:PoolType=CPPS:PoolId=1:PoolMemberId=0:Resource_type=pgwDNS:UUID=48f0d6c1-639a-41a5-81c3-91ed9324729a : See customer log for more details! :NAPTR-Query fqdn=orandata.apn.epc.mnc001.mcc001.3gppnetwork.org:;,processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-1-0,Indeterminate,false,N/A,2022/08/07 10:37:45 000 IST,1
2022/08/07 10:37:45 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 1, Member ID - 0",CmmLSS_sgsnDnsError,softwareError,Minor,In Service,LSS_sgsnDnsError : ssp : cpps1 : Machine=billa-cpps1:PoolType=CPPS:PoolId=1:PoolMemberId=0:Resource_type=sgsnDNS:UUID=48f0d6c1-639a-41a5-81c3-91ed9324729a : See customer log for more details! :A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac100e.mnc099.mcc404.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gprs:A/AAAA-Query fqdn=rac0001.lac105f.mnc001.mcc001.gpr;,processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-1-0,Indeterminate,false,N/A,2022/08/07 10:37:45 000 IST,1
2022/08/07 10:13:22 000 IST,billa,ltecmm.VNFCMember,"NECC, Pool ID - 0, Member ID - 0",CmmCinderVolumeRemoved,inputOutputDeviceError,Major,In Service,"CinderVolumeRemoved : Supervisor : necc0 : PoolType=necc:PoolId=0:PoolMemberId=0:Data={source=169.254.64.76,volume=swupDisk} : unknown additional text;",processingErrorAlarm,10.103.253.100,network:10.103.253.100:cmmInst:vnfc-cmmAgg-necc-0-0,Indeterminate,false,N/A,2022/08/07 10:13:22 000 IST,1
